"fdc_id","food_desc","scientific_name","WATERg","PROCNTg","ASHg","FATCEg","FIBTGg","FIBINSg","FIBSOLg","CHOAVLDFg","ENERCkJ","THIAmg","RIBFmg","NIAmg","PANTACmg","VITB6Amg","BIOTmcg","FOLSUMmcg","VITCmg","RETOLmcg","CHOCALmcg","CHOCALOHmcg","ERGCALmcg","TOCPHAmg","TOCPHBmg","TOCPHGmg","TOCPHDmg","TOCTRAmg","TOCTRBmg","TOCTRGmg","TOCTRDmg","VITEmg","VITK1mcg","VITK2mcg","LUTNmcg","ZEAmcg","LYCPNmcg","CRYPXBmcg","CARTGmcg","CARTAmcg","CARTBmcg","CARTOIDmcg","ALmg","ASmcg","CDmg","CAmg","CRmg","COmg","CUmg","FEmg","PBmg","LImg","MGmg","MNmg","HGmcg","MOmg","NImg","Pmg","Kmg","SEmcg","NAmg","ZNmg","CHOAVLg","STARCHg","FRUSg","GLUSg","SUCSg","MALSg","LACSg","SUGARg","F4D0g","F6D0g","F8D0g","F10D0g","F11D0g","F12D0g","F14D0g","F15D0g","F16D0g","F18D0g","F20D0g","F22D0g","F24D0g","F14D1g","F16D1g","F18D1N9g","F18D1TN9g","F20D1N9g","F22D1N9g","F24D1N9g","F18D2N6g","F20D2g","F22D2g","F18D3N3g","F20D3N6g","F20D4N6g","F20D5N3g","F22D5N3g","F22D6N3g","FASATg","FAMSg","FAPUg","CHOLEmg","HISmg","ILEmg","LEUmg","LYSmg","METmg","CYSmg","PHEmg","THRmg","TRPmg","VALmg","ALAmg","ARGmg","ASPmg","GLUmg","GLYmg","PROmg","SERmg","TYRmg","Oxalate_Total","Oxalate_Soluble","Oxalate_Insoluble","Cis_Aconitic_Acid","CITACmg","FUMACmg","MALACmg","Quinic Acid","SUCACmg","TARACmg","three_4_Dihydroxybenzoic_Acid","three_Hydroxybenzaldehyde","Protocatechuic_Acid","Vanillic_Acid","GALLACmg","Cinnamic_Acid","O_Coumaric_Acid","P_Coumaric_Acid","Caffeic_Acid","CHLRACmg","FERACmg","APIGENmg","Apigenin_6Cgluoside","Apigenin_7Oneohesperidoside","LUTEOLmg","KAEMFmg","QUERCEmg","Quercitin3_betaDglucoside","Quercetin3_Orutinoside","Quercetin3_betagalactoside","Isorhamnetin","Myricetin","Resveratol","HESPTmg","Naringenin","HESPDmg","DAIDZNmg","GNSTEINmg","EPICATECmg","EPICATEGCmg","EPICATEGC_3gallatemg","positiveCatechin","negativeGallocatechin_gallate","negativeGallocatechin","Syringic_Acid","Sinapinic_Acid","Ellagic_Acid","Total_polyphenols","RAFSg","STASg","VERSg","Ajugose","CAMTmg","STGSTRmg","b_Sitosterol","PHYTCPPmg","Total_Saponin","source_fct"
"A001","Amaranth seed, black","Amaranthus cruentus",9.89,14.59,2.78,5.74,7.02,5.76,1.26,59.98,1490,0.04,0.04,0.45,0.24,0.5,1.92,27.44,0,NA,NA,NA,58.67,0.05,0.28,0.04,0,0,0,0,0,0.17,1.8,NA,10.25,0,0,0,0,0,0,121,3.32,0,0,181,1227,0.059,0.81,9.33,0.013,0.028,325,5.29,0,0.016,0.345,374,433,16.46,2.7,2.66,56.71,55.83,0.1,0.22,0.46,0.1,NA,0.88,NA,NA,NA,0,NA,0,0.01564,NA,1.043,0.155,0.038,0.01607,0.01214,0,0,1.02,NA,0,0,0,2.259,0,NA,0.02091,NA,0,NA,NA,NA,1.28,1.033,2.279,NA,271.374,411.438,704.697,795.155,271.374,233.44,580.682,440.618,218.85,633.206,621.534,1133.643,1833.963,2351.908,1240.15,548.584,1136.561,415.815,226,37.43,188,NA,8.64,0.15,45.78,75.53,1.47,NA,1.28,NA,0.21,0.06,NA,NA,NA,0.06,0.03,0.21,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,1.75,8.24,61.36,393,1.42,"IN17"
"A002","Amaranth seed, pale brown","Amaranthus cruentus",9.2,13.27,3.05,5.56,7.47,5.8,1.67,61.46,1489,0.04,0.04,0.52,0.28,0.33,1.87,24.65,0,NA,NA,NA,53.98,0.06,0.22,0.03,0,0,0,0,0,0.15,2.5,NA,4.11,0,0,0,0,0,0,59.68,2.73,0,0.001,162,0.092,0.021,0.56,8.02,0.018,0.008,270,4.44,0,0.049,0.048,412,413,21.41,2.81,2.52,60.13,59.33,0.1,0.22,0.48,0,NA,0.8,NA,NA,NA,0,NA,0,0.01068,NA,0.891,0.172,0.03602,0.01561,0.01351,0,0,1.03,NA,0.01271,0,0,2.223,0,NA,0.04303,NA,0,NA,NA,NA,1.14,1.043,2.266,NA,262.746,378.195,655.538,729.85,258.765,200.377,630.325,396.773,224.263,570.61,508.241,956.767,1685.29,2307.653,1098.756,508.241,964.729,411.37,209,32.3,177,0.14,7.93,0.14,47.16,75.06,1.89,NA,1.23,NA,0.26,0.04,NA,NA,NA,0.04,0.03,0.1,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.75,NA,NA,NA,NA,1.58,8.51,60.15,341,1.28,"IN17"
"A003","Bajra (pearl millet)","Pennisetum typhoideum",8.97,10.96,1.37,5.43,11.49,9.14,2.34,61.78,1456,0.25,0.2,0.86,0.5,0.27,0.64,36.11,0,NA,NA,NA,5.65,0.1,0,1.42,0,0,0,0,0,0.24,2.85,NA,29.69,9.3,0,0,0,0,28.23,293,2.21,0.97,0.003,27.35,0.025,0.03,0.54,6.42,0.008,0.003,124,1.12,0.77,0.05,0.056,289,365,30.4,4.11,2.76,56.02,55.21,0.21,0.6,0,0,NA,0.81,NA,NA,NA,0,NA,0,0,NA,0.729,0.128,0.01821,0,0,0,0.00697,1.04,NA,0,0,0,1.844,0,NA,0.14,NA,0,NA,NA,NA,0.875,1.047,1.984,NA,235.64,378.12,933.792,349.624,231.256,134.808,528.272,389.08,145.768,524.984,841.728,497.584,851.592,1909.232,385.792,580.88,486.624,292.632,53.13,43.49,9.88,0.08,NA,1.99,0.86,NA,0.02,NA,0.03,0.11,NA,NA,NA,NA,NA,0.07,0.25,0.08,1.39,NA,NA,NA,1.11,0.14,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.71,0.08,0.01,NA,NA,15.84,4.97,75.87,485,NA,"IN17"
"A004","Barley","Hordeum vulgare",9.77,10.94,1.06,1.3,15.64,9.98,5.66,61.29,1321,0.36,0.18,2.84,0.14,0.31,2.38,31.58,0,NA,NA,NA,0,0.01,0,0,0,0,0,0,0,0.01,1.85,NA,5.39,1.9,0,0,0,0,0,69.87,0,0,0,28.64,0.029,0.027,0.43,1.56,0,0,48.97,1.24,1.84,0.032,0,178,268,18.61,7.56,1.5,72.73,72.67,0,0.06,0,0,NA,0.06,NA,NA,NA,0,NA,0,0,NA,0.209,0.02335,0,0,0,0,0,0.09079,NA,0,0,0,0.549,0,NA,0.02632,NA,0,NA,NA,NA,0.232,0.09079,0.575,NA,233.022,397.122,710.006,374.148,203.484,240.68,533.872,361.02,140.032,522.932,459.48,571.068,712.194,2926.45,440.882,1071.026,525.12,293.192,10.98,8.73,2.04,1.43,NA,NA,0.9,0.52,0.17,3.24,NA,NA,0.43,0.06,NA,NA,NA,1.7,0.05,2.75,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,NA,NA,NA,NA,NA,23.47,0.06,0.01,NA,NA,6.16,1.17,42.83,386,NA,"IN17"
"A005","Jowar (sorghum)","Sorghum vulgare",9.01,9.97,1.39,1.73,10.22,8.49,1.73,67.68,1398,0.35,0.14,2.1,0.27,0.28,0.7,39.42,0,NA,NA,NA,3.96,0.04,0,0.27,0,0,0,0,0,0.06,43.82,NA,9.08,7.48,0,0,0,0,8.29,212,2.56,1.53,0.002,27.6,0.01,0.012,0.45,3.95,0.008,0.001,133,1.19,2.62,0.042,0.059,274,328,26.29,5.42,1.96,60.96,59.7,0.57,0.1,0.6,0,NA,1.27,NA,NA,NA,0,NA,0,0,NA,0.149,0.01422,0,0,0,0,0,0.314,NA,0,0,0,0.508,0,NA,0.01654,NA,0,NA,NA,NA,0.163,0.314,0.524,NA,206.379,343.965,1199.391,230.307,151.544,105.682,508.47,295.112,102.691,449.647,916.243,394.812,706.873,2147.538,307.076,696.903,400.794,359.917,28.38,24.62,1.72,NA,NA,1.84,0.51,NA,3.88,NA,0.02,0.02,0.07,1.76,0.06,NA,NA,1.84,1.69,4.04,1.59,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.25,0.02,0.01,NA,NA,21.59,5.31,38.27,549,NA,"IN17"
"A006","Maize, dry  (yellow in the picture)","Zea mays",9.26,8.8,1.17,3.77,12.24,11.29,0.94,64.77,1398,0.33,0.09,2.69,0.34,0.34,0.49,25.81,0,NA,NA,NA,33.6,0.21,0,1.29,0.38,0.05,0,0,0,0.36,2.5,NA,186,42.4,0,110,0,0,186,893,2.82,0,0,8.91,0.01,0.01,0.45,2.49,0,0.002,145,0.71,3.19,0.035,0.035,279,291,8.69,4.44,2.27,61.01,59.35,0.16,0.8,0.7,0,NA,1.66,NA,NA,NA,0,NA,0,0,NA,0.363,0.04245,0.00714,0,0,0,0,0.7,NA,0.00662,0,0,1.565,0,NA,0.04076,NA,0,NA,NA,NA,0.413,0.706,1.606,NA,237.6,322.96,1077.12,232.32,184.8,136.4,452.32,284.24,50.16,476.08,680.24,369.6,576.4,1706.32,287.76,693.44,403.04,326.48,15.26,14.19,2.73,NA,NA,0.66,0.93,0.84,1.5,0.94,0.07,NA,2.93,2.96,NA,NA,NA,2.84,2.91,1.01,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.92,NA,NA,NA,NA,12.49,4.22,87.7,646,NA,"IN17"
"A007","Maize, tender, local","Zea mays",68.29,3.57,0.38,1.4,3.67,3.23,0.43,22.69,502,0.17,0.12,1.13,0.35,0.45,1.7,62.96,4.26,NA,NA,NA,42.34,0.05,0,0.4,0.03,0,0,0,0,0.09,2,NA,110,26.53,0,37.26,0,0,36.27,1428,0.12,0,0,6.35,0.004,0,0.18,0.71,0.001,0,47.62,0.36,0,0.009,0.016,163,167,3.83,2.24,0.97,17.35,15.88,0.27,0.8,0.4,0,NA,1.47,NA,NA,NA,0,NA,0,0,NA,0.09613,0.01088,0.00237,0,0,0,0,0.145,NA,0.00185,0,0,0.337,0,NA,0.01046,NA,0,NA,NA,NA,0.109,0.147,0.347,NA,76.755,126.735,360.213,72.114,59.619,42.126,141.015,106.029,20.706,126.378,353.43,108.885,329.868,715.785,160.65,282.387,216.699,112.455,5.2,3.98,0.92,0.29,NA,0.46,0.73,1.83,1.22,4.35,0.04,NA,1.24,2.85,NA,NA,NA,0.55,0.55,0.92,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,5.78,2.91,43.81,148,NA,"IN17"
"A008","Maize, tender, sweet","Zea mays",74.4,4.16,0.36,1.35,3.3,2.71,0.59,16.42,405,0.1,0.14,1.14,0.32,0.38,1.91,59.71,5.72,NA,NA,NA,16.94,0.07,0,0.3,0.03,0,0,0,0,0.1,1.8,NA,108,28.19,0,58.41,0,0,47.01,1035,0.11,0,0,6.37,0.002,0.001,0.11,0.54,0,0,36.51,0.32,0,0.006,0.009,121,297,2.17,2.23,0.77,12.11,7.45,0.91,0.97,2.79,0,NA,4.67,NA,NA,NA,0,NA,0,0,NA,0.106,0.01436,0.00295,0,0,0,0,0.174,NA,0.00205,0,0,0.292,0,NA,0.00765,NA,0,NA,NA,NA,0.123,0.176,0.3,NA,89.856,143.52,441.376,85.696,73.216,56.576,126.88,119.808,29.12,161.408,316.576,151.008,355.68,778.752,193.44,357.76,233.792,135.616,1.67,1.45,0.34,0.26,NA,0.78,0.64,4.56,1.9,2.24,0.03,NA,1.09,1.43,NA,NA,NA,0.5,0.51,0.87,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,NA,NA,NA,NA,5.63,2.63,41.71,221,NA,"IN17"
"A009","Quinoa","Chenopodium quinoa",10.43,13.11,2.65,5.5,14.66,10.21,4.46,53.65,1374,0.83,0.22,1.7,0.62,0.21,0.62,173,0,NA,NA,NA,0,2.08,0.06,2.85,0,0,0,0,0,2.08,2,NA,11.88,10.05,0,0,0,0,5.12,153,0,0.03,0.002,198,0.004,0,0.48,7.51,0,0,119,1.77,0,0,0.004,212,474,7.81,4.5,3.31,49.82,48.41,0,1.41,0,0,NA,1.41,NA,NA,NA,0,NA,0,0.08276,NA,0.434,0.05288,0,0,0,0.04441,0.05679,1.323,NA,0,0,0,2.203,0,NA,0.204,NA,0,NA,NA,NA,0.57,1.424,2.406,NA,390.678,491.625,797.088,727.605,293.664,242.535,570.285,394.611,163.875,596.505,570.285,1029.135,1101.24,1802.625,629.28,743.337,597.816,259.578,82.94,42.22,40.72,NA,NA,25.07,0.23,NA,2.07,NA,6.7,0.44,9.7,4.9,NA,0.11,0.02,NA,0.13,NA,NA,NA,NA,0.13,0.19,3.6,1.9,3.4,4.4,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.72,NA,74,NA,NA,NA,NA,0.91,1.89,46.1,120,NA,"IN17"
"A010","Ragi (finger millet, red in the picture)","Eleusine coracana",10.89,7.16,2.04,1.92,11.18,9.51,1.67,66.82,1342,0.37,0.17,1.34,0.29,0.05,0.88,34.66,0,NA,NA,NA,41.46,0.09,0,0.66,0,0,0,0,0,0.16,3,NA,25.53,1.45,0,0,0,0,1.53,154,3.64,0,0.004,364,0.032,0.022,0.67,4.62,0.005,0.003,146,3.19,3.96,0.011,0.078,210,443,15.3,4.75,2.53,62.47,62.13,0,0.25,0.12,0,NA,0.34,NA,NA,NA,0,NA,0,0,NA,0.29,0.02786,0,0,0,0,0,0.585,NA,0,0,0,0.362,0,NA,0.06858,NA,0,NA,NA,NA,0.317,0.585,0.431,NA,169.692,264.92,634.376,202.628,196.184,105.968,408.12,274.944,65.156,404.54,480.436,310.028,458.24,1447.752,257.044,388.072,344.396,241.292,39.58,31.16,8.58,NA,NA,0.2,0.75,NA,1.89,1.6,NA,NA,2.38,0.34,1.38,NA,NA,NA,NA,NA,NA,2.58,NA,10.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.52,NA,NA,NA,0.28,NA,135,0.02,NA,NA,NA,5.67,2.55,57.36,306,NA,"IN17"
